Strategy,Avg MSE ↓,BWT →0,FWT ↓,Time (s)
Naive Fine-Tune,0.939373,+0.739253,+0.959932,100.1
Joint Training,0.411699,+0.018510,+0.628672,5681.9
EWC,0.713440,+0.352701,+0.643732,202.9
Online EWC,0.680525,+0.322370,+0.609645,125.1
SI,0.990070,+0.801399,+1.031415,144.6
LwF,0.827190,+0.462424,+0.540381,112.7
DER++,0.479949,+0.224765,+0.635801,158.2
